Game,Draw Date,Winning Combination,Jackpot (PHP),Winners
4D Lotto,2025-09-15,5-1-9-7,"50,105.00",20
Ultra Lotto 6/58,2025-09-14,05-17-18-02-45-57,"49,500,000.00",1
Super Lotto 6/49,2025-09-14,40-41-08-26-45-10,"36,949,195.20",0
Lotto 6/42,2025-09-13,06-07-27-17-23-33,"9,272,591.60",0
Grand Lotto 6/55,2025-09-13,39-33-30-53-01-23,"147,546,983.20",0
6D Lotto,2025-09-13,8-5-9-0-1-0,"1,116,074.36",0
Ultra Lotto 6/58,2025-09-12,30-57-27-46-26-22,"49,500,000.00",0
Mega Lotto 6/45,2025-09-12,27-02-45-37-36-10,"27,778,957.40",0
4D Lotto,2025-09-12,4-7-9-4,"52,246.00",18
Super Lotto 6/49,2025-09-11,24-02-44-45-28-11,"32,974,881.40",0
Lotto 6/42,2025-09-11,06-39-08-31-19-16,"5,988,733.60",0
6D Lotto,2025-09-11,7-0-5-6-4-4,"640,040.12",0
Mega Lotto 6/45,2025-09-10,03-05-20-42-31-38,"23,856,257.20",0
Grand Lotto 6/55,2025-09-10,52-50-08-45-04-48,"139,842,746.00",0
4D Lotto,2025-09-10,1-5-7-8,"34,930.00",25
Ultra Lotto 6/58,2025-09-09,23-52-38-31-15-54,"49,500,000.00",0
Super Lotto 6/49,2025-09-09,32-22-08-29-15-05,"28,906,625.20",0
Lotto 6/42,2025-09-09,40-34-14-01-13-30,"5,940,000.00",0
6D Lotto,2025-09-09,7-2-6-7-2-5,"1,844,684.00",1
Mega Lotto 6/45,2025-09-08,39-28-08-44-34-31,"20,241,744.00",0
Grand Lotto 6/55,2025-09-08,14-45-24-55-44-16,"132,998,277.60",0
4D Lotto,2025-09-08,5-8-2-0,"11,650.00",49
Ultra Lotto 6/58,2025-09-07,40-54-29-31-50-19,"49,500,000.00",0
Super Lotto 6/49,2025-09-07,45-21-49-10-26-05,"25,654,340.40",0
Lotto 6/42,2025-09-06,08-39-07-38-02-09,"86,346,740.60",1
Grand Lotto 6/55,2025-09-06,29-04-34-20-01-48,"126,391,514.80",0
6D Lotto,2025-09-06,2-5-8-5-3-0,"1,736,413.76",0
Ultra Lotto 6/58,2025-09-05,47-36-19-38-29-20,"49,500,000.00",0
Mega Lotto 6/45,2025-09-05,04-34-31-25-18-41,"16,682,679.40",0
4D Lotto,2025-09-05,7-0-3-7,"231,968.00",4
Super Lotto 6/49,2025-09-04,02-32-17-06-10-04,"21,833,187.00",0
Lotto 6/42,2025-09-04,24-38-18-30-09-27,"79,979,967.60",0
6D Lotto,2025-09-04,3-3-1-0-0-3,"1,505,561.76",0
Mega Lotto 6/45,2025-09-03,10-39-43-33-14-09,"13,103,444.80",0
Grand Lotto 6/55,2025-09-03,43-09-41-18-48-27,"119,888,627.20",0
4D Lotto,2025-09-03,7-4-5-7,"33,700.00",24
Ultra Lotto 6/58,2025-09-02,36-58-49-22-25-40,"49,500,000.00",0
Super Lotto 6/49,2025-09-02,38-11-16-31-21-07,"18,731,955.00",0
Lotto 6/42,2025-09-02,40-14-16-29-35-18,"73,224,072.60",0
6D Lotto,2025-09-02,8-9-5-5-7-1,"1,137,440.80",0
Mega Lotto 6/45,2025-09-01,38-03-36-15-27-33,"9,759,510.00",0
Grand Lotto 6/55,2025-09-01,54-20-24-30-39-29,"113,375,439.20",0
4D Lotto,2025-09-01,9-5-1-2,"133,994.00",5
Ultra Lotto 6/58,2025-08-31,52-43-14-50-18-45,"49,500,000.00",0
Super Lotto 6/49,2025-08-31,23-32-45-05-18-43,"16,126,443.80",0
Lotto 6/42,2025-08-30,08-19-27-13-11-21,"66,711,495.80",0
Grand Lotto 6/55,2025-08-30,02-40-31-17-43-10,"106,866,519.20",0
6D Lotto,2025-08-30,0-5-8-3-0-9,"508,895.36",0
Ultra Lotto 6/58,2025-08-29,41-01-19-57-27-11,"49,500,000.00",0
Mega Lotto 6/45,2025-08-29,31-07-33-12-36-20,"8,910,000.00",0
4D Lotto,2025-08-29,4-7-6-1,"32,903.00",27
Super Lotto 6/49,2025-08-28,16-49-14-17-22-06,"15,840,000.00",0
Lotto 6/42,2025-08-28,02-03-10-15-26-33,"61,104,270.00",0
6D Lotto,2025-08-28,2-1-8-7-0-5,"985,432.00",1
Mega Lotto 6/45,2025-08-27,37-35-39-25-27-44,"8,910,000.00",0
Grand Lotto 6/55,2025-08-27,01-31-13-43-33-20,"100,896,572.80",0
4D Lotto,2025-08-27,1-7-7-1,"10,000.00",132
Ultra Lotto 6/58,2025-08-26,31-04-36-35-16-50,"49,500,000.00",0
Super Lotto 6/49,2025-08-26,25-16-31-27-46-35,"15,840,000.00",0
Lotto 6/42,2025-08-26,01-36-17-35-42-19,"55,241,711.80",0
6D Lotto,2025-08-26,0-6-6-1-5-0,"471,393.92",0
Mega Lotto 6/45,2025-08-25,40-05-16-03-20-27,"20,523,660.60",1
Grand Lotto 6/55,2025-08-25,11-17-38-01-07-49,"95,530,852.40",0
4D Lotto,2025-08-25,8-8-3-8,"58,874.00",14
Ultra Lotto 6/58,2025-08-24,35-29-42-56-43-28,"49,500,000.00",0
Super Lotto 6/49,2025-08-24,24-08-15-45-43-46,"15,840,000.00",0
Lotto 6/42,2025-08-23,28-01-39-40-26-16,"49,700,531.80",0
Grand Lotto 6/55,2025-08-23,24-35-41-15-45-13,"90,601,768.60",0
6D Lotto,2025-08-23,3-6-7-2-5-3,"1,018,378.00",1
Ultra Lotto 6/58,2025-08-22,01-34-44-27-57-16,"386,153,104.80",1
Mega Lotto 6/45,2025-08-22,40-33-42-06-20-17,"17,049,877.20",0
4D Lotto,2025-08-22,7-6-8-9,"39,965.00",19
Super Lotto 6/49,2025-08-21,36-15-47-10-01-41,"15,840,000.00",0
Lotto 6/42,2025-08-21,25-27-08-39-35-40,"44,760,884.00",0
6D Lotto,2025-08-21,8-0-9-2-1-8,"968,378.12",0
Mega Lotto 6/45,2025-08-20,43-38-30-11-02-14,"13,485,257.60",0
Grand Lotto 6/55,2025-08-20,09-45-21-39-14-06,"85,722,656.60",0
4D Lotto,2025-08-20,6-5-6-4,"26,375.00",30
Ultra Lotto 6/58,2025-08-19,15-43-07-40-52-29,"373,899,069.60",0
Super Lotto 6/49,2025-08-19,17-27-21-30-15-12,"89,548,070.20",1
Lotto 6/42,2025-08-19,24-28-26-05-35-20,"39,462,472.80",0
6D Lotto,2025-08-19,7-8-0-2-3-2,"671,496.52",0
Mega Lotto 6/45,2025-08-18,19-35-16-04-42-14,"10,089,332.80",0
Grand Lotto 6/55,2025-08-18,48-28-35-26-05-41,"80,900,673.60",0
4D Lotto,2025-08-18,0-4-1-7,"10,000.00",80
Ultra Lotto 6/58,2025-08-17,17-26-02-28-57-54,"363,258,633.20",0
Super Lotto 6/49,2025-08-17,04-22-44-34-30-33,"84,961,245.20",0
Lotto 6/42,2025-08-16,13-08-29-03-41-36,"35,318,748.60",0
Grand Lotto 6/55,2025-08-16,07-45-32-42-06-28,"76,085,171.80",0
6D Lotto,2025-08-16,2-5-6-8-9-3,"1,396,324.00",1
Ultra Lotto 6/58,2025-08-15,47-05-34-24-04-07,"351,893,609.20",0
Mega Lotto 6/45,2025-08-15,07-13-03-17-12-23,"8,910,000.00",0
4D Lotto,2025-08-15,2-4-5-1,"49,117.00",18
Super Lotto 6/49,2025-08-14,34-36-28-22-48-19,"79,475,795.80",0
Lotto 6/42,2025-08-14,16-20-30-38-24-32,"30,978,800.60",0
6D Lotto,2025-08-14,4-9-7-1-2-9,"828,928.32",0
Mega Lotto 6/45,2025-08-13,41-36-02-08-34-30,"8,910,000.00",0
Grand Lotto 6/55,2025-08-13,48-45-23-30-43-17,"71,512,918.80",0
4D Lotto,2025-08-13,6-9-3-0,"29,449.00",17
Ultra Lotto 6/58,2025-08-12,14-33-50-57-22-39,"339,955,661.20",0
Super Lotto 6/49,2025-08-12,35-44-21-16-27-34,"74,485,701.60",0
Lotto 6/42,2025-08-12,13-30-11-36-27-42,"27,137,946.00",0
6D Lotto,2025-08-12,7-4-9-7-7-3,"487,265.92",0
Mega Lotto 6/45,2025-08-11,40-10-16-28-07-09,"38,521,162.80",2
Grand Lotto 6/55,2025-08-11,40-17-12-29-11-48,"66,935,255.00",0
4D Lotto,2025-08-11,7-0-7-5,"42,039.00",20
Ultra Lotto 6/58,2025-08-10,15-47-13-30-57-03,"329,754,859.60",0
Super Lotto 6/49,2025-08-10,10-34-06-30-44-24,"70,216,325.00",0
Lotto 6/42,2025-08-09,09-13-36-18-27-34,"23,489,765.20",0
Grand Lotto 6/55,2025-08-09,42-30-49-06-03-45,"62,913,268.60",0
6D Lotto,2025-08-09,5-4-7-6-2-1,"4,178,784.00",1
Ultra Lotto 6/58,2025-08-08,43-04-52-41-15-06,"319,010,402.80",0
Mega Lotto 6/45,2025-08-08,04-28-02-41-01-06,"34,529,403.00",0
4D Lotto,2025-08-08,9-5-7-4,"60,823.00",16
Super Lotto 6/49,2025-08-07,49-47-16-41-20-15,"65,204,921.00",0
Lotto 6/42,2025-08-07,36-41-33-05-25-01,"19,560,635.60",0
6D Lotto,2025-08-07,8-2-3-2-3-6,"3,640,676.36",0
Mega Lotto 6/45,2025-08-06,02-35-37-10-44-24,"30,373,525.80",0
Grand Lotto 6/55,2025-08-06,17-25-04-11-37-52,"58,558,083.40",0
4D Lotto,2025-08-06,2-6-5-4,"16,406.00",46
Ultra Lotto 6/58,2025-08-05,50-21-37-22-39-48,"307,514,426.00",0
Super Lotto 6/49,2025-08-05,43-38-39-06-11-49,"60,213,515.40",0
Lotto 6/42,2025-08-05,03-31-06-28-04-23,"15,979,564.20",0
6D Lotto,2025-08-05,4-4-9-1-6-5,"3,051,776.12",0
Mega Lotto 6/45,2025-08-04,34-16-05-33-28-24,"26,667,428.60",0
Grand Lotto 6/55,2025-08-04,44-08-12-29-05-39,"54,608,763.80",0
4D Lotto,2025-08-04,5-4-4-5,"19,049.00",45
Ultra Lotto 6/58,2025-08-03,45-46-17-44-37-12,"297,664,986.40",0
Super Lotto 6/49,2025-08-03,29-43-37-10-25-26,"56,233,268.80",0
Lotto 6/42,2025-08-02,23-31-21-29-06-37,"12,715,992.00",0
Grand Lotto 6/55,2025-08-02,01-53-46-52-08-18,"50,561,260.20",0
6D Lotto,2025-08-02,9-1-3-9-6-1,"2,580,267.72",0
Ultra Lotto 6/58,2025-08-01,03-13-07-44-15-10,"287,539,944.00",0
Mega Lotto 6/45,2025-08-01,25-04-10-44-32-33,"22,766,141.80",0
4D Lotto,2025-08-01,4-9-3-7,"64,326.00",14
Super Lotto 6/49,2025-07-31,47-11-06-28-37-01,"51,493,635.80",0
Lotto 6/42,2025-07-31,24-40-03-09-36-07,"9,212,984.00",0
6D Lotto,2025-07-31,7-3-6-2-1-2,"2,101,333.68",0
Mega Lotto 6/45,2025-07-30,25-24-29-17-05-40,"18,905,149.00",0
Grand Lotto 6/55,2025-07-30,42-13-52-04-31-12,"46,269,193.00",0
4D Lotto,2025-07-30,8-6-7-3,"40,392.00",22
Ultra Lotto 6/58,2025-07-29,05-07-18-28-48-32,"276,717,316.80",0
Super Lotto 6/49,2025-07-29,47-34-06-30-15-21,"46,615,416.80",0
Lotto 6/42,2025-07-29,25-33-05-21-06-03,"6,054,592.20",0
6D Lotto,2025-07-29,7-9-6-2-9-8,"1,589,583.96",0
Mega Lotto 6/45,2025-07-28,16-29-19-14-35-31,"15,412,338.40",0
Grand Lotto 6/55,2025-07-28,12-13-55-02-30-14,"42,349,332.60",0
4D Lotto,2025-07-28,4-8-4-2,"77,148.00",11
Ultra Lotto 6/58,2025-07-27,23-40-38-39-50-42,"267,812,434.00",0
Super Lotto 6/49,2025-07-27,01-33-34-11-39-22,"43,009,332.60",0
Lotto 6/42,2025-07-26,33-10-37-23-11-17,"5,940,000.00",0
Grand Lotto 6/55,2025-07-26,09-35-45-52-41-38,"38,658,341.60",0
6D Lotto,2025-07-26,9-2-7-6-6-1,"911,779.28",0
Ultra Lotto 6/58,2025-07-25,05-30-19-43-51-50,"258,660,618.80",0
Mega Lotto 6/45,2025-07-25,41-14-05-36-29-27,"12,040,346.20",0
4D Lotto,2025-07-25,6-6-7-5,"27,009.00",31
Super Lotto 6/49,2025-07-24,47-42-29-31-48-08,"38,975,027.00",0
Lotto 6/42,2025-07-24,24-34-32-09-21-16,"63,908,331.60",1
6D Lotto,2025-07-24,8-6-5-4-7-0,"393,263.96",0
Mega Lotto 6/45,2025-07-23,37-04-23-35-13-07,"8,910,000.00",0
Grand Lotto 6/55,2025-07-23,11-32-16-09-04-24,"34,801,430.60",0
4D Lotto,2025-07-23,1-4-2-9,"10,000.00",100
Ultra Lotto 6/58,2025-07-22,42-49-52-27-39-18,"249,157,124.80",0
Super Lotto 6/49,2025-07-22,28-42-45-17-08-14,"35,910,555.60",0
Lotto 6/42,2025-07-22,24-31-35-39-04-14,"58,652,835.20",0
6D Lotto,2025-07-22,9-7-0-4-3-3,"3,277,302.00",1
Mega Lotto 6/45,2025-07-21,44-39-45-42-09-20,"8,910,000.00",0
Grand Lotto 6/55,2025-07-21,39-31-19-24-29-12,"31,513,425.80",0
4D Lotto,2025-07-21,7-1-7-8,"50,510.00",15
Ultra Lotto 6/58,2025-07-20,32-20-23-44-39-09,"241,882,917.20",0
Super Lotto 6/49,2025-07-20,27-13-12-29-44-34,"33,342,362.20",0
Lotto 6/42,2025-07-19,11-38-40-27-06-01,"54,107,784.20",0
Grand Lotto 6/55,2025-07-19,35-49-44-53-16-31,"29,700,000.00",0
6D Lotto,2025-07-19,0-8-8-6-2-0,"2,573,140.20",0
Ultra Lotto 6/58,2025-07-18,19-16-01-54-12-46,"233,048,782.00",0
Mega Lotto 6/45,2025-07-18,05-09-38-03-16-17,"8,910,000.00",0
4D Lotto,2025-07-18,2-9-7-2,"42,132.00",18
Super Lotto 6/49,2025-07-17,29-08-04-37-14-02,"29,576,927.20",0
Lotto 6/42,2025-07-17,33-31-19-37-21-41,"48,913,755.20",0
6D Lotto,2025-07-17,5-1-4-3-4-2,"2,120,010.36",0
Mega Lotto 6/45,2025-07-16,44-30-12-24-06-35,"21,538,656.00",1
Grand Lotto 6/55,2025-07-16,32-53-20-08-45-54,"29,700,000.00",0
4D Lotto,2025-07-16,0-9-5-2,"52,092.00",16
Ultra Lotto 6/58,2025-07-15,22-38-36-08-16-41,"223,465,859.20",0
Super Lotto 6/49,2025-07-15,08-07-13-23-30-29,"26,338,807.20",0
Lotto 6/42,2025-07-15,09-15-39-01-42-27,"43,583,666.20",0
6D Lotto,2025-07-15,7-1-9-7-7-9,"1,407,108.00",0
Mega Lotto 6/45,2025-07-14,34-28-08-35-32-11,"17,588,988.40",0
Grand Lotto 6/55,2025-07-14,01-02-31-13-14-44,"29,700,000.00",0
4D Lotto,2025-07-14,0-6-3-7,"78,419.00",12
Ultra Lotto 6/58,2025-07-13,12-57-41-18-33-17,"215,283,830.40",0
Super Lotto 6/49,2025-07-13,04-46-25-11-03-07,"23,469,035.60",0
Lotto 6/42,2025-07-12,39-33-40-10-20-22,"38,848,464.00",0
Grand Lotto 6/55,2025-07-12,46-54-21-51-49-42,"29,700,000.00",0
6D Lotto,2025-07-12,8-6-2-5-3-0,"1,149,883.48",0
Ultra Lotto 6/58,2025-07-11,12-29-41-24-25-38,"206,344,530.80",0
Mega Lotto 6/45,2025-07-11,25-27-24-33-35-08,"13,821,850.00",0
4D Lotto,2025-07-11,6-1-1-1,"10,000.00",22
Super Lotto 6/49,2025-07-10,07-03-25-13-44-08,"19,613,687.20",0
Lotto 6/42,2025-07-10,15-23-07-22-08-21,"33,699,580.60",0
6D Lotto,2025-07-10,2-2-4-9-1-0,"1,099,883.48",0
Mega Lotto 6/45,2025-07-09,22-44-37-15-28-24,"10,352,639.60",0
Grand Lotto 6/55,2025-07-09,52-13-40-27-05-11,"29,700,000.00",0
4D Lotto,2025-07-09,8-0-2-6,"15,139.00",26
Ultra Lotto 6/58,2025-07-08,24-33-27-07-52-30,"197,294,254.40",0
Super Lotto 6/49,2025-07-08,38-03-16-23-48-26,"16,410,441.60",0
Lotto 6/42,2025-07-08,18-23-34-05-09-12,"28,711,263.60",0
6D Lotto,2025-07-08,7-0-7-0-3-1,"1,021,148.64",0
Mega Lotto 6/45,2025-07-07,38-01-06-07-42-12,"8,910,000.00",0
Grand Lotto 6/55,2025-07-07,25-35-19-12-05-45,"29,700,000.00",0
4D Lotto,2025-07-07,1-7-8-4,"11,674.00",84
Ultra Lotto 6/58,2025-07-06,23-35-04-14-15-16,"189,803,483.20",0
Super Lotto 6/49,2025-07-06,23-13-30-28-09-36,"15,840,000.00",0
Lotto 6/42,2025-07-05,26-18-16-34-03-35,"24,706,840.00",0
Grand Lotto 6/55,2025-07-05,42-55-49-29-03-36,"29,700,000.00",0
6D Lotto,2025-07-05,3-9-4-5-0-0,"467,301.56",0
Ultra Lotto 6/58,2025-07-04,16-15-57-42-41-47,"181,743,268.40",0
Mega Lotto 6/45,2025-07-04,18-29-41-40-10-24,"8,910,000.00",0
4D Lotto,2025-07-04,9-2-5-6,"36,361.00",24
Super Lotto 6/49,2025-07-03,27-42-48-46-45-44,"15,840,000.00",0
Lotto 6/42,2025-07-03,34-02-17-35-20-05,"20,386,720.80",0
6D Lotto,2025-07-03,0-0-2-4-3-8,"493,474.00",1
Mega Lotto 6/45,2025-07-02,38-07-16-44-15-42,"46,134,409.20",1
Grand Lotto 6/55,2025-07-02,11-29-13-48-20-09,"29,700,000.00",0
4D Lotto,2025-07-02,8-2-2-3,"21,974.00",24
Ultra Lotto 6/58,2025-07-01,34-24-41-48-37-36,"173,307,289.20",0
Super Lotto 6/49,2025-07-01,19-15-17-25-20-47,"15,840,000.00",0
Lotto 6/42,2025-07-01,34-22-28-11-37-17,"16,089,613.80",0
6D Lotto,2025-07-01,9-2-0-1-1-1,"653,297.00",2
Mega Lotto 6/45,2025-06-30,25-17-19-07-08-35,"41,001,229.80",0
Grand Lotto 6/55,2025-06-30,03-54-24-36-18-46,"72,366,751.00",1
4D Lotto,2025-06-30,6-2-9-6,"40,500.00",23
Ultra Lotto 6/58,2025-06-29,14-36-17-22-34-29,"166,136,332.00",0
Super Lotto 6/49,2025-06-29,05-32-25-46-06-14,"15,840,000.00",0
Lotto 6/42,2025-06-28,26-11-03-20-36-29,"12,610,136.60",0
Grand Lotto 6/55,2025-06-28,05-03-42-27-45-34,"68,282,103.60",0
6D Lotto,2025-06-28,5-1-0-0-6-0,"1,256,595.40",0
Ultra Lotto 6/58,2025-06-27,09-23-57-01-15-39,"158,689,842.40",0
Mega Lotto 6/45,2025-06-27,24-25-12-43-02-42,"36,892,798.40",0
4D Lotto,2025-06-27,8-7-0-4,"64,122.00",13
Super Lotto 6/49,2025-06-26,25-08-05-27-18-16,"97,897,380.40",1
Lotto 6/42,2025-06-26,25-02-23-18-05-24,"9,056,625.00",0
6D Lotto,2025-06-26,0-4-7-4-1-1,"592,334.44",0
Mega Lotto 6/45,2025-06-25,36-13-27-43-34-24,"32,723,870.80",0
Grand Lotto 6/55,2025-06-25,01-07-02-11-41-37,"63,655,396.20",0
4D Lotto,2025-06-25,9-7-0-5,"49,296.00",18
Ultra Lotto 6/58,2025-06-24,30-20-31-12-03-23,"151,270,025.60",0
Super Lotto 6/49,2025-06-24,40-12-36-15-08-13,"91,915,425.20",0
Lotto 6/42,2025-06-24,24-31-13-22-09-37,"5,940,000.00",0
6D Lotto,2025-06-24,5-4-3-1-1-7,"190,935.16",0
Mega Lotto 6/45,2025-06-23,23-36-42-12-19-18,"28,803,092.00",0
Grand Lotto 6/55,2025-06-23,18-08-42-03-32-24,"59,628,474.60",0
4D Lotto,2025-06-23,7-0-7-8,"69,476.00",13
Ultra Lotto 6/58,2025-06-22,34-54-23-58-15-07,"145,295,283.20",0
Super Lotto 6/49,2025-06-22,11-38-21-22-28-36,"87,281,882.20",0
Lotto 6/42,2025-06-21,11-17-30-31-04-33,"5,940,000.00",0
Grand Lotto 6/55,2025-06-21,05-08-22-06-02-45,"55,799,907.40",0
6D Lotto,2025-06-21,5-6-8-3-1-5,"1,849,548.00",4
Ultra Lotto 6/58,2025-06-20,23-27-51-38-20-22,"138,703,022.80",0
Mega Lotto 6/45,2025-06-20,23-04-05-06-24-44,"25,002,216.60",0
4D Lotto,2025-06-20,7-9-4-4,"208,289.00",4
Super Lotto 6/49,2025-06-19,19-33-26-18-17-39,"81,897,783.60",0
Lotto 6/42,2025-06-19,02-14-16-28-22-30,"25,051,343.80",1
6D Lotto,2025-06-19,8-3-5-4-6-6,"6,638,583.68",0
Mega Lotto 6/45,2025-06-18,29-15-44-05-08-31,"21,125,006.60",0
Grand Lotto 6/55,2025-06-18,03-45-05-18-21-28,"51,481,844.00",0
4D Lotto,2025-06-18,5-8-4-5,"37,889.00",25
Ultra Lotto 6/58,2025-06-17,45-01-19-09-44-11,"131,566,412.00",0
Super Lotto 6/49,2025-06-17,27-19-08-21-46-24,"76,466,205.00",0
Lotto 6/42,2025-06-17,06-30-17-41-04-18,"21,080,522.80",0
6D Lotto,2025-06-17,5-9-9-1-1-4,"5,901,935.92",0
Mega Lotto 6/45,2025-06-16,08-22-20-41-29-42,"17,357,253.80",0
Grand Lotto 6/55,2025-06-16,36-32-28-14-49-45,"47,492,275.40",0
4D Lotto,2025-06-16,2-0-0-8,"10,000.00",95
Ultra Lotto 6/58,2025-06-15,28-52-43-50-02-18,"125,693,094.00",0
Super Lotto 6/49,2025-06-15,35-32-19-14-12-43,"72,198,130.00",0
Lotto 6/42,2025-06-14,26-05-01-20-09-37,"17,563,262.00",0
Grand Lotto 6/55,2025-06-14,33-55-48-19-01-50,"43,493,802.20",0
6D Lotto,2025-06-14,9-6-0-0-3-0,"5,207,268.24",0
Ultra Lotto 6/58,2025-06-13,50-57-12-23-39-05,"119,353,230.80",0
Mega Lotto 6/45,2025-06-13,12-07-35-03-30-13,"13,546,459.60",0
4D Lotto,2025-06-13,4-3-1-1,"17,111.00",30
Super Lotto 6/49,2025-06-12,07-14-16-08-46-06,"67,157,511.20",0
Lotto 6/42,2025-06-12,05-13-14-30-25-42,"13,536,866.80",0
6D Lotto,2025-06-12,7-2-7-3-9-7,"4,421,496.00",0
Mega Lotto 6/45,2025-06-11,14-39-10-17-44-41,"9,996,380.20",0
Grand Lotto 6/55,2025-06-11,25-32-46-44-26-36,"39,361,064.80",0
4D Lotto,2025-06-11,3-4-8-3,"124,345.00",8
Ultra Lotto 6/58,2025-06-10,43-32-47-31-01-08,"112,369,933.60",0
Super Lotto 6/49,2025-06-10,23-20-22-41-39-19,"61,972,542.20",0
Lotto 6/42,2025-06-10,25-09-33-10-20-30,"10,068,136.40",0
6D Lotto,2025-06-10,4-4-0-6-5-7,"3,734,121.28",0
Mega Lotto 6/45,2025-06-09,32-02-28-15-18-08,"8,910,000.00",0
Grand Lotto 6/55,2025-06-09,43-17-37-09-53-04,"35,456,847.80",0
4D Lotto,2025-06-09,8-0-8-9,"34,818.00",23
Ultra Lotto 6/58,2025-06-08,04-28-38-39-23-49,"106,788,318.00",0
Super Lotto 6/49,2025-06-08,37-22-30-01-26-27,"57,908,146.40",0
Lotto 6/42,2025-06-07,21-22-32-33-31-03,"7,027,614.20",0
Grand Lotto 6/55,2025-06-07,17-19-02-06-09-42,"31,679,141.00",0
6D Lotto,2025-06-07,0-3-5-8-6-0,"3,000,349.76",0
Ultra Lotto 6/58,2025-06-06,29-57-06-10-33-12,"100,698,625.60",0
Mega Lotto 6/45,2025-06-06,36-12-02-27-21-14,"8,910,000.00",0
4D Lotto,2025-06-06,5-0-3-7,"65,221.00",14
Super Lotto 6/49,2025-06-05,37-11-28-41-35-12,"53,078,892.80",0
Lotto 6/42,2025-06-05,10-40-34-12-36-16,"5,940,000.00",0
6D Lotto,2025-06-05,8-3-4-4-9-2,"2,508,611.80",0
Mega Lotto 6/45,2025-06-04,42-28-04-29-10-30,"21,749,042.20",1
Grand Lotto 6/55,2025-06-04,53-26-03-22-01-06,"29,700,000.00",0
4D Lotto,2025-06-04,5-2-3-6,"57,047.00",16
Ultra Lotto 6/58,2025-06-03,02-18-28-19-41-26,"94,914,130.40",0
Super Lotto 6/49,2025-06-03,21-43-47-17-45-19,"48,050,797.00",0
Lotto 6/42,2025-06-03,05-22-14-03-23-11,"102,346,298.00",1
6D Lotto,2025-06-03,9-6-9-4-2-2,"1,726,555.64",0
Mega Lotto 6/45,2025-06-02,14-42-37-10-18-27,"17,723,222.80",0
Grand Lotto 6/55,2025-06-02,36-12-02-26-51-29,"29,700,000.00",0
4D Lotto,2025-06-02,5-2-7-1,"22,760.00",40
Ultra Lotto 6/58,2025-06-01,17-28-33-02-49-20,"90,813,300.00",0
Super Lotto 6/49,2025-06-01,27-19-23-06-38-10,"44,911,436.80",0
Lotto 6/42,2025-05-31,42-41-33-17-03-36,"93,806,443.40",0
Grand Lotto 6/55,2025-05-31,52-33-40-48-31-06,"29,700,000.00",0
6D Lotto,2025-05-31,8-4-3-7-3-9,"1,144,422.28",0
Ultra Lotto 6/58,2025-05-30,19-12-35-18-29-43,"85,753,449.20",0
Mega Lotto 6/45,2025-05-30,24-01-30-26-17-04,"13,815,041.80",0
4D Lotto,2025-05-30,5-5-9-6,"141,790.00",7
Super Lotto 6/49,2025-05-29,41-25-24-03-34-29,"40,594,126.60",0
Lotto 6/42,2025-05-29,12-27-31-10-24-14,"86,040,161.20",0
6D Lotto,2025-05-29,3-9-3-8-0-9,"483,952.52",0
Mega Lotto 6/45,2025-05-28,12-27-36-14-19-29,"10,494,427.60",0
Grand Lotto 6/55,2025-05-28,51-49-21-17-47-54,"29,700,000.00",0
4D Lotto,2025-05-28,8-7-9-2,"122,351.00",8
Ultra Lotto 6/58,2025-05-27,55-57-34-06-42-41,"80,820,083.20",0
Super Lotto 6/49,2025-05-27,46-17-12-28-01-19,"37,046,482.80",0
Lotto 6/42,2025-05-27,07-23-21-15-02-42,"78,531,109.80",0
6D Lotto,2025-05-27,2-9-3-2-5-3,"1,468,345.00",1
Mega Lotto 6/45,2025-05-26,17-05-29-06-01-40,"8,910,000.00",0
Grand Lotto 6/55,2025-05-26,04-19-43-25-47-26,"29,700,000.00",0
4D Lotto,2025-05-26,0-0-9-2,"142,210.00",7
Ultra Lotto 6/58,2025-05-25,57-51-13-47-24-18,"76,870,794.40",0
Super Lotto 6/49,2025-05-25,35-13-42-14-24-16,"34,162,383.60",0
Lotto 6/42,2025-05-24,42-22-10-40-24-35,"71,671,076.00",0
Grand Lotto 6/55,2025-05-24,27-21-49-02-16-07,"29,700,000.00",0
6D Lotto,2025-05-24,3-5-7-1-9-2,"1,022,976.84",0
Ultra Lotto 6/58,2025-05-23,06-52-18-20-43-42,"72,271,167.80",0
Mega Lotto 6/45,2025-05-23,33-02-21-40-25-05,"8,910,000.00",0
4D Lotto,2025-05-23,3-6-2-9,"33,649.00",17
Super Lotto 6/49,2025-05-22,03-15-43-19-11-23,"30,290,919.20",0
Lotto 6/42,2025-05-22,18-39-17-35-29-38,"64,959,042.60",0
6D Lotto,2025-05-22,9-8-0-1-7-8,"622,272.00",0
Mega Lotto 6/45,2025-05-21,23-25-28-19-10-18,"64,712,644.60",1
Grand Lotto 6/55,2025-05-21,43-24-07-29-08-27,"29,700,000.00",0
4D Lotto,2025-05-21,3-1-0-9,"29,662.00",26
Ultra Lotto 6/58,2025-05-20,21-28-38-52-17-29,"67,362,412.80",0
Super Lotto 6/49,2025-05-20,02-35-32-12-07-36,"27,015,864.60",0
Lotto 6/42,2025-05-20,34-20-23-16-13-03,"58,726,119.80",0
6D Lotto,2025-05-20,5-5-0-5-2-0,"1,894,600.00",1
Mega Lotto 6/45,2025-05-19,42-15-43-06-26-37,"59,005,030.40",0
